cluster,use_case,posture,pattern,tam_2025_usd_b,tam_future_usd_b,tam_future_year,cagr_pct,ent_floor_k_usd,density,density_note
Customer,Conversational Support,INTEGRATE,REPLACE,15.82,126.82,2035,23.14,50,High,"Sierra/Decagon/Ada/Fin/Forethought all funded; no vendor >18.8% share"
Customer,FAQ / Deflection,INTEGRATE,RENEGOTIATE,,,,,,Med,"eesel/Vidocu + the support agents do deflection"
Customer,Guided-Selling / CPQ,INTEGRATE,REPLACE,,,,,,Med,"Revenue Cloud $200/seat/mo (per-seat, not an annual floor); DealHub/Conga/Apparound/Sculptor"
Customer,Travel Booking / Itinerary,INTEGRATE,REPLACE,165.9,222.4,2030,,,Med,"AI-in-travel TAM; Otto/Mindtrip/Booked AI vs GDS"
Customer,Messaging Chatbot / CCaaS,INTEGRATE,REPLACE,,,,,,High,"Botpress/Ada/Decagon/eesel + Intercom/Drift"
Employee,Enterprise Search,INTEGRATE,RENEGOTIATE,,,,,40,High,"Glean/Coveo/Dashworks/Guru/Onyx vs Copilot"
Employee,Doc Summarization / Drafting,INTEGRATE,REPLACE,,,,,,Low,"horizontal LLM + suite add-ons; no pure-play owns workflow"
Employee,Contact-Center Agent-Assist,INTEGRATE,RENEGOTIATE,,,,,60,Med,"Cresta/Observe.AI/Balto/Level AI/ASAPP; 100-seat floors"
Employee,Legal Research & Drafting,INTEGRATE,REPLACE,,,,,360,High,"Harvey/Legora/Spellbook vs CoCounsel/Lexis+; ~$285B selloff"
Employee,HR / Onboarding,INTEGRATE,RENEGOTIATE,,,,,48,Med,"Workday/Rippling/BambooHR + Zluri/Okta provisioning"
Creative,Ad / Creative Production,INTEGRATE,REPLACE,4.2,8.1,2030,11.5,,Med,"DCO TAM; Omneky/AdCreative/Bannerbear/Tadka vs Adobe/Canva"
Creative,Video Generation / Editing,INTEGRATE,RENEGOTIATE,20.0,,,,,High,"digital-video TAM proxy; OpusClip/Descript/HeyGen/Reap/Runway"
Creative,Personalized Marketing Content,INTEGRATE,REPLACE,,,,,,High,"Jasper/Writer/Copy.ai/Anyword/Typeface; LLM-cannibalized mid-tier"
Creative,Brand / DAM / 3D Asset,INTEGRATE,KEEP,4.22,11.94,2030,16.2,,Low,"Bynder/Brandfolder/Uplifted; curation gap"
Code,AI Code Review,DEPLOY,RENEGOTIATE,1.8,9.4,2034,20.2,,High,"CodeRabbit/Greptile/Qodo/Graphite vs Copilot; cheap+viral"
Code,Legacy Modernization (NL->SAP/COBOL),BUILD,KEEP,7.91,18.19,2033,9.8,,Low,"Mechanical Orchard/Bloop/Replay/vFunction; all Global-2000-first"
Code,Low-code Escape / Migration,BUILD,RENEGOTIATE,26.9,58.2,2029,14.0,,Low,"Replay/Superblocks vs OutSystems/Mendix/Retool cages; no mid-market escape service"
Data,NL Analytics / Text-to-SQL,INTEGRATE,RENEGOTIATE,,,,,150,High,"Cortex/Genie/ThoughtSpot/Hex/Julius vs Looker; warehouse-locked"
Data,Document AI / IDP / OCR,INTEGRATE,REPLACE,,,,,,Med,"Rossum/OpenEnvoy/Esker/MetaViewer; consolidation tax"
Data,Predictive Ops / Maintenance,DEPLOY,KEEP,,,,,,Med,"Augury/Uptake/C3/SymphonyAI vs Honeywell/GE/Siemens"
Data,Market / Customer Research,INTEGRATE,RENEGOTIATE,140.0,,,,,Med,"industry TAM; UserIntuition/Listen Labs/Dovetail vs Qualtrics"
Security,SIEM Tier-1 / Investigation,DEPLOY,KEEP,8.41,31.48,2031,24.77,36,High,"Prophet/Torq/Dropzone/Radiant on Splunk/Sentinel; autonomous-SOC TAM"
Security,SOAR / Auto-Remediation,INTEGRATE,REPLACE,8.41,31.48,2031,24.77,,Med,"Torq/Tines/D3/BlinkOps vs Phantom/XSOAR (Gartner: obsolete)"
Security,Fraud / Risk Detection,INTEGRATE,KEEP,32.0,65.68,2030,15.5,,Med,"Feedzai/Sardine/Unit21/Sift vs SAS/FICO"
Security,GRC / Compliance & Audit,INTEGRATE,KEEP,,,,,4,High,"Vanta/Drata/Secureframe/Sprinto/Scrut; floor Sprinto $4K -> Vanta $250K"
